instancia,familia,I,K,R,edificios,carreras,num_x,num_y,num_z,num_vars,num_constraints,runtime,status,obj_modelo,best_bound,mip_gap,costo_azar_promedio,costo_azar_min,costo_azar_max,costo_azar_std,mejora_vs_azar,estudiantes_misma_sala,estudiantes_mismo_edificio,estudiantes_cambio_edificio,costo_mismo_edificio,costo_cambio_edificio,salas_usadas_b1,salas_usadas_b2,salas_no_usadas_b1,salas_no_usadas_b2,total_libres,total_entrantes,time_limit,costo_recalculado,costo_misma_sala,n_random_exitosas,estudiantes_misma_sala_azar_promedio,estudiantes_mismo_edificio_azar_promedio,estudiantes_cambio_edificio_azar_promedio
M4_E12,A_escalabilidad,12,12,12,3,3,109,129,7215,7453,21693,33.24,OPTIMAL,1031.1683,1031.1683,0.0,4144.4402,3415.6522,5023.0513,457.2478,75.12,171.0,177.0,45.0,345.1926,685.9757,12,12,0,0,39,12,300,1031.1683,0.0,10,28.3,108.9,255.8
M4_E16,A_escalabilidad,16,16,16,4,4,195,211,22225,22631,66739,602.34,TIME_LIMIT,3159.9299,1209.8302,0.617134,6858.8076,6200.2847,7779.4005,432.5767,53.93,241.0,128.0,193.0,250.2642,2909.6657,16,16,0,0,57,9,600,3159.9299,0.0,10,36.8,110.5,414.7
M4_E20,A_escalabilidad,20,20,20,4,4,302,318,41546,42166,124718,904.17,TIME_LIMIT,3597.2274,1663.0796,0.537677,8637.7896,8191.1372,9285.3776,320.9825,58.35,178.0,330.0,170.0,661.369,2935.8584,20,20,0,0,71,39,900,3597.2274,0.0,10,38.9,123.9,515.2
M4_E24,A_escalabilidad,24,24,24,5,5,455,503,95361,96319,286179,1211.06,TIME_LIMIT,4331.9939,213.7744,0.950652,10336.257,9796.8459,10914.9239,360.2713,58.09,257.0,292.0,256.0,640.0458,3691.9481,24,24,0,0,73,33,1200,4331.9939,0.0,10,32.5,130.9,641.6
M4_S18_R18,B_sobreoferta,18,18,18,4,4,257,285,33874,34416,101694,603.43,TIME_LIMIT,2652.4134,346.2829,0.869446,7992.7628,7704.4316,8454.5314,232.6215,66.81,249.0,241.0,149.0,467.9752,2184.4382,18,18,0,0,56,31,600,2652.4134,0.0,10,34.0,121.2,483.8
M4_S18_R24,B_sobreoferta,18,18,24,4,4,305,344,53090,53739,159354,605.29,TIME_LIMIT,2930.4822,890.3997,0.696159,7534.5925,6571.0762,8188.7986,493.7995,61.11,217.0,234.0,165.0,516.4934,2413.9888,18,18,6,6,55,30,600,2930.4822,0.0,10,39.4,120.9,455.7
M4_S18_R30,B_sobreoferta,18,18,30,4,4,413,464,90414,91291,271338,911.2,TIME_LIMIT,2278.2357,141.0233,0.9381,7527.1452,6544.785,8494.8932,523.0746,69.73,233.0,271.0,111.0,664.965,1613.2707,18,18,12,12,62,22,900,2278.2357,0.0,10,26.6,128.6,459.8
M4_S18_R36,B_sobreoferta,18,18,36,4,4,553,583,166570,167706,499818,1217.88,TIME_LIMIT,1794.999,103.901,0.942116,7991.3698,7374.6446,8839.7844,421.959,77.54,181.0,346.0,80.0,762.8504,1032.1486,18,18,18,18,65,33,1200,1794.999,0.0,10,12.7,126.2,468.1
